#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Thu Mar 14 00:42:36 2024
# Process ID: 41358
# Current directory: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc
# Command line: xsim -mode tcl -source {xsim.dir/tb_fsic_xelab/xsim_script.tcl}
# Log file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.log
# Journal file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.jou
# Running On: roy-VirtualBox, OS: Linux, CPU Frequency: 2999.996 MHz, CPU Physical cores: 2, Host memory: 10425 MB
#-----------------------------------------------------------
source xsim.dir/tb_fsic_xelab/xsim_script.tcl
# xsim {tb_fsic_xelab} -autoloadwcfg -tclbatch {log_wave.tcl}
Time resolution is 1 ps
open_wave_config /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/tb_fsic_xelab.wcfg
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_next_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_widthIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_heightIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_sw_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_rst was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
source log_wave.tcl
## log_wave -quiet -verbose -recursive *
## run all
Test#1: FIR initialization from SOC side
fsci_system_initial: TX/RX test
LENGTH =        600
              177665=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       296,  soc_to_fpga_axis_captured[       296] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffa48
              177665=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       296,  soc_to_fpga_axis_captured[       296] =xxxXfffffa48, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffa48
              177785=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000006
              177825=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000007
              177865=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000008
              177905=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000009
              177945=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000000a
              177985=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000000b
              178025=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000000c
              178065=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000000d
              178105=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000000e
              178225=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       297,  soc_to_fpga_axis_captured[       297] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffaff
              178225=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       297,  soc_to_fpga_axis_captured[       297] =xxxXfffffaff, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffaff
              178785=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       298,  soc_to_fpga_axis_captured[       298] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffbb6
              178785=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       298,  soc_to_fpga_axis_captured[       298] =xxxXfffffbb6, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffbb6
              179345=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       299,  soc_to_fpga_axis_captured[       299] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffc6d
              179345=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       299,  soc_to_fpga_axis_captured[       299] =xxxXfffffc6d, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffc6d
              179905=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       300,  soc_to_fpga_axis_captured[       300] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffd24
              179905=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       300,  soc_to_fpga_axis_captured[       300] =xxxXfffffd24, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffd24
              180465=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       301,  soc_to_fpga_axis_captured[       301] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffddb
              180465=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       301,  soc_to_fpga_axis_captured[       301] =xxxXfffffddb, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffddb
              181025=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       302,  soc_to_fpga_axis_captured[       302] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffe92
              181025=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       302,  soc_to_fpga_axis_captured[       302] =xxxXfffffe92, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffe92
              181585=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       303,  soc_to_fpga_axis_captured[       303] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffff49
              181585=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       303,  soc_to_fpga_axis_captured[       303] =xxxXffffff49, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffff49
              182145=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       304,  soc_to_fpga_axis_captured[       304] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000000
              182145=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       304,  soc_to_fpga_axis_captured[       304] =xxxX00000000, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000000
              182705=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       305,  soc_to_fpga_axis_captured[       305] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000000b7
              182705=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       305,  soc_to_fpga_axis_captured[       305] =xxxX000000b7, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000000b7
              182825=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000000f
              182865=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000010
              182905=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000011
              182945=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000012
              182985=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000013
              183025=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000014
              183065=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000015
              183105=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000016
              183145=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000017
              183265=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       306,  soc_to_fpga_axis_captured[       306] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000016e
              183265=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       306,  soc_to_fpga_axis_captured[       306] =xxxX0000016e, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000016e
              183825=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       307,  soc_to_fpga_axis_captured[       307] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000225
              183825=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       307,  soc_to_fpga_axis_captured[       307] =xxxX00000225, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000225
              184385=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       308,  soc_to_fpga_axis_captured[       308] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000002dc
              184385=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       308,  soc_to_fpga_axis_captured[       308] =xxxX000002dc, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000002dc
              184945=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       309,  soc_to_fpga_axis_captured[       309] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000393
              184945=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       309,  soc_to_fpga_axis_captured[       309] =xxxX00000393, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000393
              185505=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       310,  soc_to_fpga_axis_captured[       310] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000044a
              185505=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       310,  soc_to_fpga_axis_captured[       310] =xxxX0000044a, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000044a
              186065=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       311,  soc_to_fpga_axis_captured[       311] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000501
              186065=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       311,  soc_to_fpga_axis_captured[       311] =xxxX00000501, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000501
              186625=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       312,  soc_to_fpga_axis_captured[       312] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000005b8
              186625=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       312,  soc_to_fpga_axis_captured[       312] =xxxX000005b8, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000005b8
              187185=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       313,  soc_to_fpga_axis_captured[       313] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000066f
              187185=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       313,  soc_to_fpga_axis_captured[       313] =xxxX0000066f, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000066f
              187745=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       314,  soc_to_fpga_axis_captured[       314] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000726
              187745=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       314,  soc_to_fpga_axis_captured[       314] =xxxX00000726, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000726
              187865=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000018
              187905=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000019
              187945=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000001a
              187985=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000001b
              188025=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000001c
              188065=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000001d
              188105=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000001e
              188145=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000001f
              188185=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000020
              188305=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       315,  soc_to_fpga_axis_captured[       315] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000007dd
              188305=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       315,  soc_to_fpga_axis_captured[       315] =xxxX000007dd, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000007dd
              188865=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       316,  soc_to_fpga_axis_captured[       316] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000894
              188865=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       316,  soc_to_fpga_axis_captured[       316] =xxxX00000894, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000894
              189425=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       317,  soc_to_fpga_axis_captured[       317] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000094b
              189425=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       317,  soc_to_fpga_axis_captured[       317] =xxxX0000094b, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000094b
              189985=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       318,  soc_to_fpga_axis_captured[       318] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000a02
              189985=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       318,  soc_to_fpga_axis_captured[       318] =xxxX00000a02, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000a02
              190545=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       319,  soc_to_fpga_axis_captured[       319] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000ab9
              190545=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       319,  soc_to_fpga_axis_captured[       319] =xxxX00000ab9, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000ab9
              191105=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       320,  soc_to_fpga_axis_captured[       320] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000b70
              191105=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       320,  soc_to_fpga_axis_captured[       320] =xxxX00000b70, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000b70
              191665=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       321,  soc_to_fpga_axis_captured[       321] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000c27
              191665=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       321,  soc_to_fpga_axis_captured[       321] =xxxX00000c27, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000c27
              192225=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       322,  soc_to_fpga_axis_captured[       322] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000cde
              192225=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       322,  soc_to_fpga_axis_captured[       322] =xxxX00000cde, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000cde
              192785=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       323,  soc_to_fpga_axis_captured[       323] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000d95
              192785=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       323,  soc_to_fpga_axis_captured[       323] =xxxX00000d95, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000d95
              192905=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000021
              192945=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000022
              192985=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000023
              193025=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000024
              193065=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000025
              193105=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000026
              193145=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000027
              193185=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000028
